Address,Raw,Disassembly
"0x30303231","c1c389c2c389","0x30303231: rol ebx, 89h | 0x30303234: ret 89c3h |"
"0x30303032","00000000c3","0x30303032: add [eax], al | 0x30303034: add [eax], al | 0x30303036: ret |"
"0x30303033","000000c340c3","0x30303033: add [eax], al | 0x30303035: add bl, al | 0x30303037: inc eax | 0x30303038: ret |"
"0x30303130","31c0c3","0x30303130: xor eax, eax | 0x30303132: ret |"
"0x30303133","83e804c3","0x30303133: sub eax, 4 | 0x30303136: ret |"
"0x30303135","04c3c3","0x30303135: add al, -3dh | 0x30303137: ret |"
"0x30303230","89c1c3","0x30303230: mov ecx, eax | 0x30303232: ret |"
"0x30303233","89c2c3","0x30303233: mov edx, eax | 0x30303235: ret |"
"0x30303236","89c3c3","0x30303236: mov ebx, eax | 0x30303238: ret |"
"0x30303330","58c3","0x30303330: pop eax | 0x30303331: ret |"
"0x30303332","8918c3","0x30303332: mov [eax], ebx | 0x30303334: ret |"
